Model,eci
Gemini 3.1 Pro,161.75499936748096
Gemini 3.5 Flash,161.21213357783398
Grok 4.20,158.99319992760522
Gemini 3 Pro,156.42410570622962
Gemini 3 Flash,152.05212704275522
Kimi K2.6,151.47658378675223
Grok 4,150.0
Kimi K2.5,149.99634293229295
Kimi K2.7 Code,149.80590913105488
Grok 4.3 Beta,149.01999692531626
Grok 4 Fast,148.82355182589532
Kimi K2 Thinking,146.85594529536243
Gemini 3.1 Flash-Lite,145.77519908983686
Kimi K2 (Sep 2025),142.34532498559705
Grok-3 mini,142.09574979565116
Kimi K2 (Jul 2025),141.25848428639858
Grok 3,139.95288336951856
Gemma 3 27B,132.34948679976807
Grok-2 (Dec 2024),131.1177571513423
Claude 3.5 Sonnet,130.0
Claude 3.5 Haiku,127.72891599133516
Claude 3 Opus,127.23946279418783
Amazon Nova Pro,125.35407854888462
Llama 3-70B,125.25782541886842
Gemma 2 27B,123.61139638125488
Gemma 2 9B,121.81953072588837
Claude 3 Sonnet,121.02643887619294
Llama 2-70B,118.13108501160272
Gemma 7B,115.29114953324257
LLaMA-65B,115.20853275245908
LLaMA-33B,112.90458908049631
Llama 2-13B,111.7825015847314
Llama 2-34B,111.3161947539619
INTELLECT-1,107.67741014340395
LLaMA-13B,106.97195889347262
Llama 2-7B,105.39734618006517
LLaMA-7B,103.30920451919383
Gemma 2B,101.19633185148467
